author_id,first_name,last_name,translated_name,nationality,birth,death,num_books_written
66,André,Breton,アンドレ・ブルトン,France,1896-02-01,1966-09-28,20
67,Hermann,Broch,ヘルマン・ブロッホ,Austria,1886-11-01,1951-05-30,6
68,William S.,Burroughs,ウィリアム・S・バロウズ,United States,1914-02-05,1997-08-02,18
69,Michel,Butor,ミシェル・ビュトール,France,1926-09-14,2016-08-24,4
70,Dino,Buzzati,ディーノ・ブッツァーティ,Italy,1906-10-16,1972-01-28,5
71,Italo,Calvino,イタロ・カルヴィーノ,Italy,1923-10-15,1985-09-19,10
72,Edmond-François,Calvo,エドモン・フランソワ・カルボ,France,1892-08-26,1957-10-11,18
73,Georges,Canguilhem,ジョルジュ・カンギレム,France,1904-06-04,1995-09-11,8
74,Alejo,Carpentier,アレホ・カルペンティエル,Cuba,1904-12-26,1980-04-24,12
75,Ernst,Cassirer,エルンスト・カッシーラー,Germany,1874-07-28,1945-04-13,4
76,Louis-Ferdinand,Céline,ルイ＝フェルディナン・セリーヌ,France,1894-05-27,1961-07-01,13
77,Blaise,Cendrars,ブレーズ・サンドラール,Switzerland,1887-09-01,1961-01-21,49
78,Aimé,Césaire,エメ・セゼール,Martinique,1913-06-26,2008-04-17,9
79,Raymond,Chandler,レイモンド・チャンドラー,"United States, United Kingdom",1888-07-23,1959-03-26,7
80,René,Char,ルネ・シャール,France,1907-06-14,1988-02-19,23
81,James Hadley,Chase,ジェイムズ・ハドリー・チェイス,United Kingdom,1906-12-24,1985-02-06,90
82,Agatha,Christie,アガサ・クリスティ,United Kingdom,1890-09-15,1976-01-12,75
83,Paul,Claudel,ポール・クローデル,France,1868-08-06,1955-02-23,5
84,Albert,Cohen,アルベール・コーエン,Switzerland,1895-08-16,1981-10-17,4
85,Sidonie-Gabrielle,Colette,シドニー＝ガブリエル・コレット,France,1873-01-28,1954-08-03,40
86,Joseph,Conrad,ジョゼフ・コンラッド,"Poland, United Kingdom",1857-12-03,1924-08-03,5
87,Julio,Cortázar,フリオ・コルタサル,"Argentina, France",1914-08-26,1984-02-12,10
88,Guy,Debord,ギー・ドゥボール,France,1931-12-28,1994-11-30,10
89,Gilles,Deleuze,ジル・ドゥルーズ,France,1925-01-18,1995-11-04,12
90,芳樹,田中,Yoshiki Tanaka,Japan,1952-10-22,,589
91,遼太郎,司馬,Ryōtarō Shiba,Japan,1923-08-07,1996-02-12,1146
92,浩,有川,Hiro Arikawa,Japan,1972-06-09,,55
93,正太郎,池波,Shōtarō Ikenami,Japan,1923-01-25,1990-05-03,532
94,潤,池井戸,Jun Ikeido,Japan,1963-06-16,,83
95,菜穂子,上橋,Nahoko Uehashi,Japan,1962-07-15,,120
96,豊子,山崎,Toyoko Yamasaki,Japan,1924-11-03,2013-09-29,125
97,正史,横溝,Seishi Yokomizo,Japan,1902-05-24,1981-12-28,243
98,よる,住野,Yoru Sumino,Japan,,,8
99,美夜,香月,Miya Kazuki,Japan,,,46
100,誠,新海,Makoto Shinkai,Japan,1973-02-09,,29
101,しをん,三浦 ,Shion Miura,Japan,1976-09-23,,72
102,秀夫,横山,Hideo Yokoyama,Japan,1957-01-17,,4
103,祐介,貴志,Yusuke Kishi,Japan,1959-01-03,,53
104,竜,和田,Ryo Wada,Japan,1969-01-01,,5
105,七生 ,塩野,Nanami Shiono,Japan,1937-07-07,,15
106,カルロ,ゼン,Carlo Zen,Japan,,,37
107,翁,馬場,Okina Baba,Japan,,,81
108,衣良,石田,Ira Ishida,Japan,1960-03-28,,72
109,穂信,米澤,Honobu Yonezawa,Japan,1978-01-01,,79
110,篤哉, 東川,Tokuya Higashikawa,Japan,1968-01-01,,3
111,陸,恩田,Riku Onda,Japan,1964-10-25,,3
112,圭祐,松岡,Keisuke Matsuoka,Japan,1968-12-03,,156
113,丁,冲方,Tow Ubukata,Japan,1977-02-14,,65
114,元気,川村,Genki Kawamura,Japan,1979-03-12,,3
115,学,神永,Manabu Kaminaga,Japan,1974-08-03,,137
116,荘八,山岡,Sōhachi Yamaoka,Japan,1907-01-11,1978-09-30,73
117,カズオ,イシグロ,Kazuo Ishiguro,"Japan, United Kingdom",1954-11-08,,10
118,なつ,浅葉,Natsu Asaba,Japan,,,24
119,ひろ,愛七,Hiro Ainana,Japan,,,60
120,敏,今野,Bin Konno,Japan,1955-09-27,,276
121,規子,荻原,Noriko Ogiwara,Japan,1959-04-22,,8
122,延,三上,En Mikami,Japan,1971-01-01,,39
123,Darren,O'Shaughnessy,ダレン シャン,Ireland,1972-01-01,,12
124,くるみ,乾,Kurumi Inui,Japan,1963-10-30,,7
125,滝美,秋川,Takimi Akigawa,Japan,,,42
126,沙耶香,村田,Sayaka Murata,Japan,1979-08-14,,13
127,瞬一,堂場,Shunichi Dōba,Japan,1963-01-01,,13
128,秀行,菊地,Hideyuki Kikuchi,Japan,1949-09-25,,237
129,日輪,香月,Hinowa Kōzuki,Japan,1963-01-01,2014-12-19,11
